BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_PER_BED,PRICE_PER_PROPERTYSQFT
"Brokered by Robert DeFalco Realty, Inc.",House for sale,519000,3,2.0,1480.0,Richmond County,40.5939378,-74.1843153,173000.0,350.6756756756757
Brokered by Queens Quality Management,Co-op for sale,358000,2,1.0,2184.207862,Queens,40.7855174,-73.7797613,179000.0,163.90381438888895
Brokered by COMPASS,Co-op for sale,975000,3,1.0,2184.207862,New York,40.7455051,-74.0016003,325000.0,446.3860866736501
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Townhouse for sale,29200000,12,10.0,11638.0,New York County,40.747472,-73.9796788,2433333.3333333335,2509.0221687575186
Brokered by Pride Estates,Co-op for sale,498000,2,1.0,975.0,Brooklyn,40.6351164,-74.0311609,249000.0,510.7692307692308
Brokered by Laffey Real Estate,Co-op for sale,385000,1,2.0,900.0,Queens,40.7839299,-73.77643,385000.0,427.77777777777777
Brokered by Progress Realty Inc.,Multi-family home for sale,999000,6,2.0,3144.0,Bronx County,40.8451067,-73.8601577,166500.0,317.7480916030534
Brokered by COMPASS,Co-op for sale,399000,1,1.0,2184.207862,Queens,40.7531191,-73.8818757,399000.0,182.67492162337064
Brokered by Staten Island Premiere Properties,Contingent,599000,4,4.0,2800.0,Richmond County,40.5387352,-74.1423893,149750.0,213.92857142857142
Brokered by Staten Island Premiere Properties,House for sale,829888,4,2.3738608579684373,1800.0,New York,40.521278,-74.2230351,207472.0,461.0488888888889
"Brokered by Dynasty Real Estate, Inc.",Townhouse for sale,699998,3,2.0,1548.0,Richmond County,40.5953144,-74.1628286,233332.66666666666,452.1950904392765
Brokered by Daniel Gale Sotheby's International Realty,Co-op for sale,1088000,5,2.0,2184.207862,Queens,40.7186003,-73.8453488,217600.0,498.1210895394167
Brokered by WW Realty Group Inc,House for sale,999000,6,2.0,1280.0,Bronx County,40.8808173,-73.8350832,166500.0,780.46875
Brokered by New York Realty Minimax,Multi-family home for sale,1188888,15,9.0,2184.207862,Queens County,40.7075546,-73.9036964,79259.2,544.3108326289872
Brokered by NextHome Residential,Co-op for sale,265000,1,1.0,700.0,Queens,40.7824499,-73.7765099,265000.0,378.57142857142856
"Brokered by MAXIMILLION REALTY, INC.",Co-op for sale,288000,1,1.0,845.0,Brooklyn,40.5894827,-73.9395372,288000.0,340.8284023668639
Brokered by COMPASS,Co-op for sale,999995,3,2.0,1750.0,New York,40.7640501,-73.964336,333331.6666666667,571.4257142857143
Brokered by Corcoran East Side,Co-op for sale,1495000,2,2.0,1350.0,New York,40.7708195,-73.9595235,747500.0,1107.4074074074074
Brokered by Corcoran Park Avenue South,Co-op for sale,925000,1,1.0,1000.0,New York,40.7699425,-73.9583558,925000.0,925.0
Brokered by Realty Connect USA LLC,Co-op for sale,349000,2,1.0,2184.207862,Queens,40.7050355,-73.8241699,174500.0,159.78332743497833
Brokered by AI Realty Brokerage LLC,Condo for sale,2000000,4,4.0,3000.0,New York,40.7573479,-73.9614914,500000.0,666.6666666666666
Brokered by Century 21 Realty First,Condo for sale,839000,3,2.0,1376.0,Kings County,40.5905451,-73.9910402,279666.6666666667,609.7383720930233
Brokered by Platinum Properties of Long Island,Co-op for sale,329000,1,1.0,820.0,Queens,40.7157399,-73.83672,329000.0,401.219512195122
Brokered by Keller Williams Hudson Valley,Multi-family home for sale,899000,6,3.0,3683.0,Bronx County,40.8796143,-73.856153,149833.33333333334,244.09448818897638
Brokered by Citadel Circle Realty,House for sale,615000,3,2.0,2184.207862,Kings County,40.6610456,-73.9019953,205000.0,281.5666085172254
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,800000,2,2.0,1257.0,New York,40.7917785,-73.9406204,400000.0,636.4359586316627
Brokered by Coldwell Banker Advantage,Condo for sale,430000,2,2.0,1248.0,Staten Island,40.6123868,-74.1511288,215000.0,344.55128205128204
Brokered by Jessica Viola,Contingent,499000,3,2.0,1288.0,Richmond County,40.6166867,-74.1576647,166333.33333333334,387.4223602484472
Brokered by Keller Williams Realty Liberty,Co-op for sale,439500,3,2.0,1400.0,Queens,40.7047878,-73.8344551,146500.0,313.92857142857144
Brokered by Prime Properties Long Island,Co-op for sale,299000,1,1.0,2184.207862,Queens,40.7123992,-73.8339305,299000.0,136.89173324658603
"Brokered by Robert DeFalco Realty, Inc.",House for sale,2580000,8,2.3738608579684373,6493.0,Richmond County,40.6050685,-74.0969483,322500.0,397.35099337748346
Brokered by RE MAX Distinguished Homes & Properties,Condo for sale,200000,1,1.0,613.0,Bronx County,40.840459,-73.8542045,200000.0,326.2642740619902
Brokered by Oxford Property Group,Co-op for sale,425000,3,1.0,2184.207862,New York,40.8189893,-73.953108,141666.66666666666,194.57855060133465
Brokered by BESMATCH REAL ESTATE,Co-op for sale,69000,1,1.0,850.0,The Bronx,40.8366623,-73.9239586,69000.0,81.17647058823529
Brokered by Corcoran West Side Gallery,Condo for sale,1995000,3,2.0,1546.0,New York,40.8018548,-73.9672877,665000.0,1290.4269081500647
Brokered by COMPASS,Co-op for sale,230000,1,1.0,620.0,New York,40.8028416,-73.9670229,230000.0,370.96774193548384
Brokered by Crifasi Real Estate Inc,Co-op for sale,220000,1,1.0,590.0,Queens,40.7130136,-73.8230375,220000.0,372.8813559322034
Brokered by E Realty International Corp,Co-op for sale,198000,3,1.0,2184.207862,Queens,40.756144,-73.8213672,66000.0,90.65071298603355
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,1495000,1,2.0,2184.207862,New York,40.7382884,-73.9851838,1495000.0,684.4586662329301
Brokered by Corcoran West Side,Co-op for sale,475000,1,1.0,615.0,New York,40.7779975,-73.9445342,475000.0,772.3577235772358
Brokered by Rad Marketing Corp,Co-op for sale,199900,2,1.0,2184.207862,Queens,40.6779049,-73.733881,99950.0,91.52059356519246
Brokered by Joanne Costa Realty,House for sale,1150000,2,2.0,1444.0,Richmond County,40.5882505,-74.1087291,575000.0,796.398891966759
Brokered by Corcoran Park Slope,House for sale,1575000,3,2.0,2184.207862,Kings County,40.6683947,-73.9762195,525000.0,721.0852169343578
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,229000,1,1.0,2184.207862,Queens,40.7562792,-73.8758052,229000.0,104.84350138283679
Brokered by Corcoran SoHo,For sale,2700000,8,4.0,2184.207862,Kings County,40.6914843,-73.9676428,337500.0,1236.1460861731848
